::1 - - [29/Jun/2026 18:07:43] "GET /tv-light.jpg?v=1 HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /master-bed-light.jpg?v=1 HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /master-bed-dark.jpg?v=1 HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /common-bath-dark.jpg?v=1 HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /common-bath-light.jpg?v=1 HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /kitchen-light.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /common-bath-light.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /master-bed-light.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /bar-light.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /tv-light.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /kitchen-dark.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /master-bed-dark.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /tv-dark.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /common-bath-dark.jpg HTTP/1.1" 304 -
::1 - - [29/Jun/2026 18:07:43] "GET /bar-dark.jpg HTTP/1.1" 304 -
